#s	W0^2		W2^2		W4^2		W6^2		W8^2
94.501540 7.429432e-01 -9.649634e-02 3.776543e-02 -1.392527e-02 1.306348e-02
95.501530 7.416651e-01 -9.764212e-02 3.806775e-02 -1.393776e-02 1.324112e-02
96.501510 7.403444e-01 -9.877774e-02 3.842228e-02 -1.397473e-02 1.329481e-02
97.501480 7.390362e-01 -1.000667e-01 3.871522e-02 -1.428601e-02 1.350270e-02
98.501480 7.377321e-01 -1.012420e-01 3.906957e-02 -1.431454e-02 1.356968e-02
99.501460 7.364474e-01 -1.024000e-01 3.944748e-02 -1.453931e-02 1.377048e-02
100.501400 7.351732e-01 -1.037224e-01 3.973860e-02 -1.462346e-02 1.386952e-02
101.501400 7.338507e-01 -1.048433e-01 4.000279e-02 -1.477658e-02 1.398569e-02
102.501400 7.325661e-01 -1.060521e-01 4.046152e-02 -1.495173e-02 1.413315e-02
103.501400 7.312605e-01 -1.072876e-01 4.066421e-02 -1.500344e-02 1.413439e-02
104.501400 7.299820e-01 -1.085391e-01 4.098638e-02 -1.512385e-02 1.429268e-02
105.501400 7.287099e-01 -1.096897e-01 4.136051e-02 -1.516022e-02 1.444628e-02
106.501400 7.274092e-01 -1.108595e-01 4.163663e-02 -1.524299e-02 1.447939e-02
107.501300 7.261408e-01 -1.120054e-01 4.203215e-02 -1.531833e-02 1.468502e-02
108.501300 7.248720e-01 -1.132344e-01 4.241926e-02 -1.551460e-02 1.498768e-02
109.501300 7.235860e-01 -1.143912e-01 4.277942e-02 -1.547508e-02 1.497692e-02
110.501300 7.223122e-01 -1.155873e-01 4.307967e-02 -1.567227e-02 1.511431e-02
111.501300 7.210266e-01 -1.168137e-01 4.336948e-02 -1.580530e-02 1.517250e-02
112.501300 7.197447e-01 -1.178819e-01 4.375750e-02 -1.579355e-02 1.528574e-02
113.501200 7.184513e-01 -1.191373e-01 4.416619e-02 -1.586287e-02 1.538341e-02
114.501300 7.171972e-01 -1.202298e-01 4.443941e-02 -1.604602e-02 1.527117e-02
115.501200 7.159062e-01 -1.214500e-01 4.478706e-02 -1.619664e-02 1.545406e-02
116.501200 7.146697e-01 -1.225949e-01 4.509083e-02 -1.632612e-02 1.552547e-02
117.501200 7.133652e-01 -1.237837e-01 4.543724e-02 -1.642717e-02 1.555964e-02
118.501200 7.121216e-01 -1.250016e-01 4.583792e-02 -1.658028e-02 1.568382e-02
119.501200 7.108378e-01 -1.261555e-01 4.613291e-02 -1.668331e-02 1.579892e-02
120.501200 7.095642e-01 -1.272894e-01 4.646345e-02 -1.681374e-02 1.585995e-02
121.501200 7.082986e-01 -1.284265e-01 4.674150e-02 -1.689757e-02 1.593121e-02
122.501200 7.070372e-01 -1.296421e-01 4.707981e-02 -1.705271e-02 1.603213e-02
123.501100 7.057692e-01 -1.307837e-01 4.737834e-02 -1.715024e-02 1.601677e-02
124.501100 7.045032e-01 -1.318846e-01 4.771030e-02 -1.729751e-02 1.612582e-02
125.501100 7.032594e-01 -1.330346e-01 4.810806e-02 -1.745991e-02 1.629648e-02
126.501100 7.019918e-01 -1.341734e-01 4.844171e-02 -1.752632e-02 1.632581e-02
127.501100 7.007193e-01 -1.353619e-01 4.869976e-02 -1.773780e-02 1.644402e-02
128.501100 6.994474e-01 -1.365287e-01 4.911505e-02 -1.788931e-02 1.652709e-02
129.501100 6.981699e-01 -1.376949e-01 4.931186e-02 -1.804913e-02 1.648506e-02
130.501100 6.969166e-01 -1.388400e-01 4.967911e-02 -1.819463e-02 1.656557e-02
131.501100 6.956834e-01 -1.399744e-01 5.001124e-02 -1.835971e-02 1.660747e-02
132.501000 6.944279e-01 -1.411231e-01 5.029916e-02 -1.862915e-02 1.661059e-02
133.501000 6.931491e-01 -1.422833e-01 5.061798e-02 -1.879602e-02 1.674791e-02
134.501000 6.918741e-01 -1.434370e-01 5.094013e-02 -1.903238e-02 1.677397e-02
135.501000 6.906287e-01 -1.445953e-01 5.115067e-02 -1.918790e-02 1.682861e-02
136.501000 6.893890e-01 -1.458191e-01 5.143308e-02 -1.941315e-02 1.690233e-02
137.501000 6.881182e-01 -1.470029e-01 5.182974e-02 -1.956851e-02 1.695388e-02
138.501000 6.868796e-01 -1.481483e-01 5.210567e-02 -1.975312e-02 1.702385e-02
139.501000 6.856087e-01 -1.492677e-01 5.237783e-02 -1.990580e-02 1.711957e-02
140.501000 6.843774e-01 -1.504122e-01 5.270984e-02 -1.998435e-02 1.733444e-02
141.501000 6.831282e-01 -1.515491e-01 5.304919e-02 -2.014288e-02 1.738872e-02
142.501000 6.818720e-01 -1.527092e-01 5.338706e-02 -2.032130e-02 1.751634e-02
143.501000 6.806170e-01 -1.538637e-01 5.366250e-02 -2.053741e-02 1.751089e-02
144.500900 6.793831e-01 -1.549867e-01 5.398326e-02 -2.059012e-02 1.768308e-02
145.500900 6.781483e-01 -1.561272e-01 5.429817e-02 -2.071958e-02 1.779464e-02
146.500900 6.769003e-01 -1.572687e-01 5.463513e-02 -2.088827e-02 1.786236e-02
147.500900 6.756493e-01 -1.584040e-01 5.498076e-02 -2.103237e-02 1.807829e-02
148.500900 6.744190e-01 -1.594815e-01 5.529257e-02 -2.118066e-02 1.815958e-02
149.500900 6.731711e-01 -1.606539e-01 5.562930e-02 -2.132083e-02 1.825071e-02
150.500900 6.719296e-01 -1.617215e-01 5.597627e-02 -2.142179e-02 1.838146e-02
151.500900 6.706742e-01 -1.628690e-01 5.626822e-02 -2.165686e-02 1.843899e-02
152.500900 6.694538e-01 -1.640040e-01 5.663645e-02 -2.174767e-02 1.854184e-02
153.500900 6.682357e-01 -1.651124e-01 5.693966e-02 -2.188377e-02 1.859205e-02
154.500900 6.669921e-01 -1.662601e-01 5.729478e-02 -2.200805e-02 1.875687e-02
155.500900 6.657763e-01 -1.673171e-01 5.765608e-02 -2.211052e-02 1.886214e-02
156.500900 6.645382e-01 -1.684098e-01 5.803226e-02 -2.222435e-02 1.897497e-02
157.500900 6.633198e-01 -1.695178e-01 5.832996e-02 -2.234296e-02 1.906204e-02
158.500800 6.620824e-01 -1.706402e-01 5.872156e-02 -2.247958e-02 1.914063e-02
159.500800 6.608620e-01 -1.717108e-01 5.906216e-02 -2.262523e-02 1.920320e-02
160.500800 6.596331e-01 -1.727941e-01 5.943417e-02 -2.274723e-02 1.929814e-02
161.500800 6.584280e-01 -1.739165e-01 5.981307e-02 -2.286233e-02 1.942836e-02
162.500800 6.572053e-01 -1.749421e-01 6.015260e-02 -2.300771e-02 1.945074e-02
163.500800 6.559795e-01 -1.760517e-01 6.049576e-02 -2.317307e-02 1.949149e-02
164.500800 6.547664e-01 -1.771557e-01 6.089319e-02 -2.335908e-02 1.957500e-02
165.500800 6.535421e-01 -1.782611e-01 6.118519e-02 -2.348276e-02 1.959387e-02
166.500800 6.523267e-01 -1.793772e-01 6.148080e-02 -2.367446e-02 1.956948e-02
167.500800 6.511184e-01 -1.804312e-01 6.178783e-02 -2.388412e-02 1.961705e-02
168.500800 6.499021e-01 -1.815048e-01 6.212076e-02 -2.405859e-02 1.966594e-02
169.500800 6.486970e-01 -1.826111e-01 6.245855e-02 -2.420667e-02 1.969759e-02
170.500800 6.474586e-01 -1.837114e-01 6.279621e-02 -2.432840e-02 1.984038e-02
171.500800 6.462670e-01 -1.847747e-01 6.311257e-02 -2.453303e-02 1.981469e-02
172.500800 6.450499e-01 -1.858372e-01 6.346203e-02 -2.470150e-02 1.984331e-02
173.500800 6.438579e-01 -1.869334e-01 6.378522e-02 -2.485031e-02 1.991789e-02
174.500700 6.426315e-01 -1.880330e-01 6.408919e-02 -2.505145e-02 1.995829e-02
175.500700 6.414170e-01 -1.891160e-01 6.441959e-02 -2.523149e-02 2.001158e-02
176.500700 6.402259e-01 -1.901946e-01 6.474069e-02 -2.540749e-02 2.000671e-02
177.500700 6.390166e-01 -1.912578e-01 6.500895e-02 -2.550584e-02 2.010362e-02
178.500700 6.378254e-01 -1.923266e-01 6.538655e-02 -2.570585e-02 2.005202e-02
179.500700 6.366050e-01 -1.933779e-01 6.571052e-02 -2.588064e-02 2.017677e-02
180.500700 6.354061e-01 -1.944702e-01 6.601723e-02 -2.606166e-02 2.024061e-02
181.500700 6.342075e-01 -1.955065e-01 6.631263e-02 -2.618765e-02 2.026328e-02
182.500700 6.330109e-01 -1.965861e-01 6.668722e-02 -2.631448e-02 2.038493e-02
183.500700 6.318079e-01 -1.976498e-01 6.697207e-02 -2.648331e-02 2.041962e-02
184.500700 6.306263e-01 -1.987112e-01 6.733432e-02 -2.667704e-02 2.049827e-02
185.500700 6.294188e-01 -1.997789e-01 6.764344e-02 -2.676741e-02 2.056110e-02
186.500700 6.282385e-01 -2.008248e-01 6.799387e-02 -2.697379e-02 2.056800e-02
187.500700 6.270269e-01 -2.018491e-01 6.827909e-02 -2.701856e-02 2.063942e-02
188.500700 6.258256e-01 -2.028635e-01 6.865421e-02 -2.721908e-02 2.071106e-02
189.500700 6.246495e-01 -2.039398e-01 6.897178e-02 -2.744144e-02 2.081571e-02
190.500700 6.234672e-01 -2.049735e-01 6.927055e-02 -2.753226e-02 2.087532e-02
191.500700 6.222839e-01 -2.060178e-01 6.967388e-02 -2.763093e-02 2.098405e-02
192.500700 6.210825e-01 -2.070197e-01 6.995014e-02 -2.784149e-02 2.105092e-02
193.500700 6.199069e-01 -2.080493e-01 7.033583e-02 -2.792772e-02 2.106565e-02
194.500700 6.187304e-01 -2.090691e-01 7.058575e-02 -2.808355e-02 2.112928e-02
195.500600 6.175507e-01 -2.101485e-01 7.094368e-02 -2.824575e-02 2.114293e-02
196.500600 6.163523e-01 -2.111626e-01 7.124007e-02 -2.840028e-02 2.121424e-02
197.500600 6.151767e-01 -2.121659e-01 7.158429e-02 -2.857314e-02 2.130020e-02
